Pair,Exe1,Time1,Exe2,Time2
[./floyd-warshall,./trmm],./floyd-warshall,171.34,./trmm,45.53
[./gemm,./gemver],./gemm,45.53,./gemver,0.95
[./gemm,./gesummv],./gemm,46.32,./gesummv,0.24
[./gemm,./gramschmidt],./gemm,46.77,./gramschmidt,120.72
[./gemm,./heat-3d],./heat-3d,144.21,./gemm,49.22
[./gemm,./jacobi-1d],./jacobi-1d,0.07,./gemm,45.65
[./gemm,./lu],./lu,277.70,./gemm,50.92
[./gemm,./ludcmp],./gemm,48.82,./ludcmp,279.18
[./gemm,./mvt],./gemm,44.63,./mvt,0.70
[./gemm,./nussinov],./gemm,46.00,./nussinov,181.51
[./gemm,./symm],./symm,69.91,./gemm,50.77
[./gemm,./syr2k],./gemm,43.72,./syr2k,249.69
[./gemm,./syrk],./gemm,43.16,./syrk,39.18
[./gemm,./trisolv],./gemm,48.43,./trisolv,0.21
[./gemm,./trmm],./trmm,41.55,./gemm,46.93
[./gemver,./gesummv],./gemver,0.98,./gesummv,0.25
[./gemver,./gramschmidt],./gemver,1.02,./gramschmidt,134.06
[./gemver,./heat-3d],./heat-3d,147.47,./gemver,1.02
[./gemver,./jacobi-1d],./jacobi-1d,0.07,./gemver,0.84
[./gemver,./lu],./lu,308.72,./gemver,1.01
[./gemver,./ludcmp],./ludcmp,302.53,./gemver,1.00
[./gemver,./mvt],./gemver,0.96,./mvt,0.75
[./gemver,./nussinov],./gemver,0.89,./nussinov,197.57
[./gemver,./symm],./gemver,0.99,./symm,79.52
[./gemver,./syr2k],./gemver,0.96,./syr2k,247.60
[./gemver,./syrk],./syrk,36.72,./gemver,0.98
[./gemver,./trisolv],./gemver,0.92,./trisolv,0.22
[./gemver,./trmm],./gemver,0.93,./trmm,45.57
[./gesummv,./gramschmidt],./gesummv,0.26,./gramschmidt,134.51
[./gesummv,./heat-3d],./heat-3d,148.38,./gesummv,0.25
[./gesummv,./jacobi-1d],./jacobi-1d,0.08,./gesummv,0.24
[./gesummv,./lu],./lu,307.88,./gesummv,0.26
[./gesummv,./ludcmp],./ludcmp,295.13,./gesummv,0.26
[./gesummv,./mvt],./mvt,0.76,./gesummv,0.25
[./gesummv,./nussinov],./gesummv,0.24,./nussinov,190.01
[./gesummv,./symm],./gesummv,0.26,./symm,75.95
[./gesummv,./syr2k],./gesummv,0.24,./syr2k,258.31
[./gesummv,./syrk],./gesummv,0.24,./syrk,39.62
[./gesummv,./trisolv],./trisolv,0.23,./gesummv,0.24
[./gesummv,./trmm],./trmm,44.55,./gesummv,0.25
[./gramschmidt,./heat-3d],./heat-3d,161.50,./gramschmidt,133.57
[./gramschmidt,./jacobi-1d],./jacobi-1d,0.07,./gramschmidt,108.74
[./gramschmidt,./lu],./lu,321.50,./gramschmidt,137.12
[./gramschmidt,./ludcmp],./ludcmp,320.60,./gramschmidt,136.06
[./gramschmidt,./mvt],./mvt,0.81,./gramschmidt,134.40
[./gramschmidt,./nussinov],./gramschmidt,123.22,./nussinov,191.76
[./gramschmidt,./symm],./symm,81.90,./gramschmidt,138.04
[./gramschmidt,./syr2k],./gramschmidt,141.37,./syr2k,240.23
[./gramschmidt,./syrk],./gramschmidt,125.16,./syrk,41.83
[./gramschmidt,./trisolv],./trisolv,0.23,./gramschmidt,127.52
[./gramschmidt,./trmm],./trmm,47.65,./gramschmidt,128.06
[./heat-3d,./jacobi-1d],./heat-3d,139.19,./jacobi-1d,0.07
[./heat-3d,./lu],./heat-3d,154.86,./lu,305.26
[./heat-3d,./ludcmp],./heat-3d,153.50,./ludcmp,303.37
[./heat-3d,./mvt],./heat-3d,150.26,./mvt,0.75
[./heat-3d,./nussinov],./heat-3d,142.80,./nussinov,198.73
[./heat-3d,./symm],./heat-3d,157.13,./symm,78.03
[./heat-3d,./syr2k],./heat-3d,146.20,./syr2k,252.84
[./heat-3d,./syrk],./heat-3d,156.03,./syrk,37.74
[./heat-3d,./trisolv],./heat-3d,145.08,./trisolv,0.23
[./heat-3d,./trmm],./heat-3d,159.00,./trmm,45.04
[./jacobi-1d,./lu],./jacobi-1d,0.08,./lu,259.64
[./jacobi-1d,./ludcmp],./jacobi-1d,0.07,./ludcmp,250.23
[./jacobi-1d,./mvt],./jacobi-1d,0.07,./mvt,0.67
[./jacobi-1d,./nussinov],./jacobi-1d,0.07,./nussinov,187.38
[./jacobi-1d,./symm],./jacobi-1d,0.07,./symm,61.46
[./jacobi-1d,./syr2k],./jacobi-1d,0.07,./syr2k,219.37
[./jacobi-1d,./syrk],./jacobi-1d,0.07,./syrk,33.60
[./jacobi-1d,./trisolv],./jacobi-1d,0.07,./trisolv,0.22
[./jacobi-1d,./trmm],./jacobi-1d,0.07,./trmm,40.09
[./lu,./ludcmp],./ludcmp,304.75,./lu,314.60
[./lu,./mvt],./lu,303.89,./mvt,0.76
[./lu,./nussinov],./lu,266.83,./nussinov,198.78
[./lu,./symm],./symm,80.29,./lu,330.18
[./lu,./syr2k],./lu,287.64,./syr2k,256.50
[./lu,./syrk],./syrk,38.62,./lu,300.79
[./lu,./trisolv],./lu,299.53,./trisolv,0.23
[./lu,./trmm],./trmm,45.92,./lu,305.04
[./ludcmp,./mvt],./ludcmp,298.60,./mvt,0.76
[./ludcmp,./nussinov],./ludcmp,271.98,./nussinov,189.08
[./ludcmp,./symm],./ludcmp,303.40,./symm,82.62
[./ludcmp,./syr2k],./ludcmp,297.73,./syr2k,241.31
[./ludcmp,./syrk],./syrk,37.56,./ludcmp,294.05
[./ludcmp,./trisolv],./ludcmp,283.89,./trisolv,0.23
[./ludcmp,./trmm],./ludcmp,293.80,./trmm,45.87
[./mvt,./nussinov],./mvt,0.68,./nussinov,194.46
[./mvt,./symm],./mvt,0.79,./symm,77.26
[./mvt,./syr2k],./mvt,0.74,./syr2k,243.93
[./mvt,./syrk],./mvt,0.70,./syrk,39.47
[./mvt,./trisolv],./trisolv,0.22,./mvt,0.72
